Load (x),Power Factor (pf),Power Output (Po),Efficiency (%)
0.1,0.2,25.0,78.37
0.2,0.2,50.0,85.62
0.3,0.2,75.0,87.31
0.4,0.2,100.0,87.41
0.5,0.2,125.0,86.87
0.6,0.2,150.0,86.01
0.7,0.2,175.0,84.99
0.8,0.2,200.0,83.89
0.9,0.2,225.0,82.75
1.0,0.2,250.0,81.59
0.1,0.4,50.0,87.87
0.2,0.4,100.0,92.25
0.3,0.4,150.0,93.23
0.4,0.4,200.0,93.28
0.5,0.4,250.0,92.97
0.6,0.4,300.0,92.48
0.7,0.4,350.0,91.89
0.8,0.4,400.0,91.24
0.9,0.4,450.0,90.56
1.0,0.4,500.0,89.86
0.1,0.6,75.0,91.58
0.2,0.6,150.0,94.7
0.3,0.6,225.0,95.38
0.4,0.6,300.0,95.42
0.5,0.6,375.0,95.2
0.6,0.6,450.0,94.86
0.7,0.6,525.0,94.44
0.8,0.6,600.0,93.98
0.9,0.6,675.0,93.5
1.0,0.6,750.0,93.01
0.1,0.8,100.0,93.55
0.2,0.8,200.0,95.97
0.3,0.8,300.0,96.49
0.4,0.8,400.0,96.53
0.5,0.8,500.0,96.36
0.6,0.8,600.0,96.09
0.7,0.8,700.0,95.77
0.8,0.8,800.0,95.42
0.9,0.8,900.0,95.05
1.0,0.8,1000.0,94.66
0.1,1.0,125.0,94.77
0.2,1.0,250.0,96.75
0.3,1.0,375.0,97.18
0.4,1.0,500.0,97.2
0.5,1.0,625.0,97.06
0.6,1.0,750.0,96.85
0.7,1.0,875.0,96.59
0.8,1.0,1000.0,96.3
0.9,1.0,1125.0,96.0
1.0,1.0,1250.0,95.68
