Load (x),Power Factor (pf),Power Output (Po),Efficiency (%)
0.1,0.2,25.0,78.36990595611285
0.2,0.2,50.0,85.61643835616438
0.3,0.2,75.0,87.31082654249126
0.4,0.2,100.0,87.4125874125874
0.5,0.2,125.0,86.86587908269632
0.6,0.2,150.0,86.0091743119266
0.7,0.2,175.0,84.99271491015055
0.8,0.2,200.0,83.89261744966443
0.9,0.2,225.0,82.75101140125047
1.0,0.2,250.0,81.59268929503916
0.1,0.4,50.0,87.87346221441125
0.2,0.4,100.0,92.25092250922509
0.3,0.4,150.0,93.22560596643878
0.4,0.4,200.0,93.28358208955224
0.5,0.4,250.0,92.97136481963555
0.6,0.4,300.0,92.47842170160297
0.7,0.4,350.0,91.8876345497506
0.8,0.4,400.0,91.24087591240875
0.9,0.4,450.0,90.5614811833367
1.0,0.4,500.0,89.86340762041696
0.1,0.6,75.0,91.57509157509158
0.2,0.6,150.0,94.69696969696969
0.3,0.6,225.0,95.3793980500212
0.4,0.6,300.0,95.41984732824427
0.5,0.6,375.0,95.2018278750952
0.6,0.6,450.0,94.8566610455312
0.7,0.6,525.0,94.44144630329197
0.8,0.6,600.0,93.98496240601504
0.9,0.6,675.0,93.5032552985178
1.0,0.6,750.0,93.00595238095238
0.1,0.8,100.0,93.54536950420955
0.2,0.8,200.0,95.96928982725528
0.3,0.8,300.0,96.4940495336121
0.4,0.8,400.0,96.52509652509653
0.5,0.8,500.0,96.35767970707266
0.6,0.8,600.0,96.09224855861628
0.7,0.8,700.0,95.77233547680942
0.8,0.8,800.0,95.41984732824427
0.9,0.8,900.0,95.04699545886578
1.0,0.8,1000.0,94.6611132146914
0.1,1.0,125.0,94.76876421531463
0.2,1.0,250.0,96.74922600619196
0.3,1.0,375.0,97.17543405027209
0.4,1.0,500.0,97.20062208398134
0.5,1.0,625.0,97.06476160894549
0.6,1.0,750.0,96.84917355371901
0.7,1.0,875.0,96.58902748647755
0.8,1.0,1000.0,96.30200308166408
0.9,1.0,1125.0,95.99795204368972
1.0,1.0,1250.0,95.68279240661359
