Load (x),Power Factor (pf),Voltage Regulation (%) (lag),Voltage Regulation (%) (lead)
0.1,0.2,0.4,-0.24
0.2,0.2,0.8,-0.48
0.3,0.2,1.2,-0.72
0.4,0.2,1.59,-0.96
0.5,0.2,1.99,-1.2
0.6,0.2,2.39,-1.44
0.7,0.2,2.79,-1.68
0.8,0.2,3.19,-1.92
0.9,0.2,3.59,-2.16
1.0,0.2,3.99,-2.4
0.1,0.4,0.46,-0.14
0.2,0.4,0.92,-0.28
0.3,0.4,1.37,-0.42
0.4,0.4,1.83,-0.56
0.5,0.4,2.29,-0.7
0.6,0.4,2.75,-0.84
0.7,0.4,3.2,-0.98
0.8,0.4,3.66,-1.12
0.9,0.4,4.12,-1.26
1.0,0.4,4.58,-1.4
0.1,0.6,0.5,-0.02
0.2,0.6,1.0,-0.04
0.3,0.6,1.5,-0.07
0.4,0.6,2.0,-0.09
0.5,0.6,2.5,-0.11
0.6,0.6,2.99,-0.13
0.7,0.6,3.49,-0.16
0.8,0.6,3.99,-0.18
0.9,0.6,4.49,-0.2
1.0,0.6,4.99,-0.22
0.1,0.8,0.51,0.12
0.2,0.8,1.03,0.24
0.3,0.8,1.54,0.37
0.4,0.8,2.05,0.49
0.5,0.8,2.57,0.61
0.6,0.8,3.08,0.73
0.7,0.8,3.59,0.86
0.8,0.8,4.11,0.98
0.9,0.8,4.62,1.1
1.0,0.8,5.13,1.22
0.1,1.0,0.4,0.4
0.2,1.0,0.79,0.79
0.3,1.0,1.19,1.19
0.4,1.0,1.59,1.59
0.5,1.0,1.99,1.99
0.6,1.0,2.38,2.38
0.7,1.0,2.78,2.78
0.8,1.0,3.18,3.18
0.9,1.0,3.58,3.58
1.0,1.0,3.97,3.97
